,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
94,123.0,77.505,50.548,274.43,228.72,11.44,0.8,1.01,29.0,74.161,51.105,282.92,219.036,0.646,6.24,2.82,6.905983961836739,2.65138145764942
95,128.0,76.737,49.779,275.32,228.8,12.8,0.8,1.01,29.0,74.161,51.105,282.92,219.036,0.646,6.24,2.82,6.419384417427816,2.387853786334008
96,129.0,271.726,61.11,109.42,277.403,16.71,65.76,9.15,118.0,271.671,60.654,109.43,274.201,16.772,66.08,9.17,0.4588308089484004,0.45852446961102433
97,131.0,249.201,86.846,104.09,258.824,22.505,239.4,17.46,121.0,249.311,86.388,104.24,255.86,22.368,234.4,17.28,0.4962974412964444,0.4709796178824208
98,132.0,213.296,48.239,142.4,50.689,21.438,161.3,14.33,117.0,212.918,47.814,142.88,47.475,20.438,156.2,14.1,0.5578681819979567,0.5095086589248508
99,133.0,63.644,69.97,303.36,315.316,16.126,13.76,4.19,126.0,63.787,70.532,303.05,311.956,16.194,10.24,3.61,0.634376592754726,0.5778909932673209
100,137.0,179.081,33.325,200.27,171.854,17.733,38.88,7.04,125.0,178.138,33.137,201.28,168.66,17.271,38.88,7.04,0.5927304227725501,0.549907604101475
101,138.0,72.749,23.303,258.95,182.821,15.676,9.28,3.44,104.0,71.98,18.326,262.03,167.383,12.141,26.24,5.78,5.514767568268165,4.984393279084077
102,139.0,194.045,44.79,145.47,39.605,18.6,68.32,9.33,124.0,193.6,44.528,145.97,36.326,17.621,69.28,9.39,0.44736746872554856,0.40801596118560873
103,140.0,63.301,87.405,311.59,292.838,22.76,103.0,11.45,121.0,249.311,86.388,104.24,255.86,22.368,234.4,17.28,9.566739518654197,8.637636087058269
104,141.0,56.923,73.554,282.87,307.555,19.229,109.9,11.83,87.0,50.247,71.081,288.59,284.868,12.342,99.52,11.26,7.756150843410973,6.823516551205813
105,145.0,75.102,23.508,302.89,179.069,20.687,79.84,10.08,133.0,75.15,24.032,302.75,175.9,20.273,78.72,10.01,0.5330852729245253,0.5243570064816618
106,146.0,34.278,37.059,296.44,199.421,23.533,151.0,13.87,134.0,34.823,37.344,295.71,196.275,23.079,146.6,13.66,0.5266496991812071,0.43566630109097987
107,147.0,110.711,40.364,236.53,269.872,17.069,19.04,4.92,137.0,110.343,40.84,236.91,266.707,17.117,18.56,4.86,0.5422646252978607,0.532852610049681
108,151.0,78.598,55.19,279.89,189.787,29.04,288.2,19.15,138.0,78.617,55.712,279.87,186.661,28.305,280.8,18.91,0.5223159857874679,0.5222345191481832
109,153.0,224.462,78.296,166.34,233.052,19.469,38.08,6.96,141.0,224.364,77.808,106.64,229.955,19.298,37.28,6.89,0.5705912168193705,0.4973291869288611
110,157.0,240.796,58.464,122.43,285.94,18.543,13.92,4.21,144.0,240.566,58.001,122.76,282.778,18.726,14.72,4.33,0.5442876998363273,0.5025992523639555
111,159.0,76.443,76.868,277.31,58.4,17.4,0.32,0.64,235.0,76.234,76.804,273.86,92.6,34.4,0.32,0.64,3.5040955791047548,0.2133341818035182
112,161.0,219.575,51.373,146.42,1.742,19.66,14.88,4.35,147.0,218.861,51.156,147.01,0.267,18.222,1.44,1.35,0.6146496380899801,0.5977293004713847
113,162.0,244.156,14.155,136.34,75.733,24.217,72.8,9.63,146.0,243.504,13.54,136.95,72.493,23.324,71.84,9.56,0.6348983555335049,0.6344794464584544
114,163.0,83.899,45.979,264.02,225.2,17.8,0.32,0.64,69.0,81.945,49.114,270.85,224.0,3.4,0.32,0.64,6.500869759022807,3.450339452787855
115,164.0,147.275,22.302,222.52,298.14,22.278,42.56,7.36,152.0,146.078,22.55,223.77,294.977,22.243,41.6,7.28,0.5390840832081643,0.5196293343688786
116,166.0,22.269,61.066,331.44,8.149,19.837,27.04,5.87,142.0,22.561,61.249,330.93,4.78,18.694,25.28,5.67,0.48494653162348333,0.31450087980898445
117,167.0,80.28,50.342,266.23,220.8,18.2,0.32,0.64,69.0,81.945,49.114,270.85,224.0,3.4,0.32,0.64,5.963880304635291,1.766799041577149
118,168.0,233.766,79.944,148.43,15.704,25.276,131.7,12.95,145.0,233.699,79.433,148.72,12.477,23.747,121.1,12.42,0.5854514945800928,0.5152340601814642
119,169.0,225.329,12.653,149.43,89.738,23.35,90.08,10.71,146.0,243.504,13.54,136.95,72.493,23.324,71.84,9.56,6.703603366343932,4.194482716210727
120,170.0,228.466,44.99,145.03,272.646,24.92,114.2,12.06,153.0,228.279,44.616,145.42,269.666,24.948,110.7,11.87,0.4727065463270213,0.39653500493375543
121,171.0,350.245,11.9,357.06,283.269,26.88,158.4,14.2,158.0,352.466,11.8,354.7,280.331,26.862,154.2,14.01,0.5026907714276398,0.46688640004509807
122,172.0,60.835,47.046,298.63,212.588,21.416,18.08,4.8,155.0,61.171,47.587,298.19,209.459,21.133,17.28,4.69,0.6314412191729142,0.5947157177566591
123,173.0,297.074,47.271,45.39,238.641,22.101,25.28,5.67,157.0,297.354,46.935,44.75,235.47,21.892,23.2,5.43,0.597442216502515,0.3936630026025176
124,174.0,283.649,6.713,57.9,101.542,28.03,244.2,17.63,154.0,285.325,6.155,56.2,98.382,27.167,235.8,17.33,0.58971248374394,0.5887004037716491
125,175.0,226.594,67.738,108.57,315.778,21.615,8.64,3.32,163.0,226.203,67.435,109.07,312.377,21.341,5.44,2.63,0.5878812544392655,0.47166038640556696
126,178.0,294.958,32.79,48.87,3.703,25.039,54.08,8.3,164.0,295.382,32.37,48.34,1.787,23.411,31.52,6.34,0.5082877243228228,0.4780431119948076
127,183.0,231.518,44.7,99.08,169.756,28.25,149.8,13.81,170.0,231.175,44.224,99.53,166.65,27.592,146.9,13.68,0.5713128395495554,0.5331926500796541
128,185.0,96.239,80.431,290.46,139.861,27.09,95.68,11.04,171.0,96.27,81.042,290.5,136.754,26.321,92.16,10.83,0.613417635768899,0.611765549894605
